url_length,domain_length,subdomain_count,has_https,has_suspicious_tokens,special_char_count,digit_count,path_length,label
30,22,1,1,0,1,0,0,legitimate
36,28,1,1,0,2,1,0,legitimate
23,15,1,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
26,18,1,1,0,0,3,0,legitimate
22,14,1,1,0,0,0,0,legitimate
36,28,2,1,0,0,0,0,legitimate
33,25,2,1,0,2,3,0,legitimate
37,29,2,1,0,1,1,0,legitimate
24,16,1,1,0,0,1,0,legitimate
30,22,0,1,0,0,0,0,legitimate
35,27,2,1,0,2,1,0,legitimate
23,15,1,1,0,0,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
24,16,0,1,0,1,0,0,legitimate
43,35,3,1,0,1,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
36,28,1,1,0,1,0,0,legitimate
37,29,1,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
31,23,0,1,0,0,0,0,legitimate
30,22,2,1,0,1,1,0,legitimate
39,31,2,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
24,16,0,1,0,1,0,0,legitimate
24,16,0,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
18,10,1,1,0,0,0,0,legitimate
40,32,1,1,0,0,0,0,legitimate
29,21,1,1,0,1,0,0,legitimate
29,21,2,1,0,0,0,0,legitimate
33,25,2,1,0,0,0,0,legitimate
26,18,0,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
35,27,2,1,0,0,0,0,legitimate
30,22,2,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
27,19,1,1,0,1,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
33,25,1,1,0,0,0,0,legitimate
41,33,2,1,0,2,0,0,legitimate
26,18,1,1,0,1,0,0,legitimate
35,27,1,1,0,0,1,0,legitimate
18,10,0,1,0,0,0,0,legitimate
34,26,2,1,0,0,5,0,legitimate
24,16,0,1,1,0,0,0,legitimate
33,25,2,1,0,0,4,0,legitimate
25,17,1,1,0,0,0,0,legitimate
35,27,1,1,0,0,1,0,legitimate
32,24,1,1,0,2,0,0,legitimate
31,23,1,1,0,0,0,0,legitimate
44,36,1,1,0,0,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
38,30,2,1,0,0,0,0,legitimate
36,28,3,1,0,0,0,0,legitimate
28,20,1,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
44,36,1,1,0,2,2,0,legitimate
28,20,2,1,0,0,0,0,legitimate
26,18,1,1,0,0,2,0,legitimate
29,21,1,1,0,1,0,0,legitimate
40,32,3,1,0,0,0,0,legitimate
42,34,5,1,0,0,0,0,legitimate
49,41,6,1,0,0,0,0,legitimate
29,21,0,1,0,0,0,0,legitimate
30,22,1,1,0,1,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
45,37,3,1,0,2,0,0,legitimate
33,25,1,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
57,49,1,1,0,3,0,0,legitimate
23,15,1,1,0,1,0,0,legitimate
18,10,0,1,0,0,1,0,legitimate
37,29,1,1,0,1,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
32,24,1,1,0,1,0,0,legitimate
26,18,2,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
32,24,2,1,1,0,0,0,legitimate
44,36,2,1,0,2,1,0,legitimate
26,18,1,1,0,1,0,0,legitimate
26,18,1,1,0,0,1,0,legitimate
35,27,2,1,0,0,1,0,legitimate
26,18,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
29,21,1,1,0,0,1,0,legitimate
23,15,0,1,0,0,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
35,27,2,1,0,2,0,0,legitimate
34,26,2,1,0,0,1,0,legitimate
18,10,0,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
36,28,1,1,0,1,0,0,legitimate
28,20,1,1,0,0,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
32,24,2,1,0,0,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,1,0,legitimate
27,19,1,1,0,1,0,0,legitimate
30,22,1,1,0,1,0,0,legitimate
42,34,3,1,0,0,0,0,legitimate
40,32,2,1,0,1,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
20,12,1,1,0,0,1,0,legitimate
30,22,2,1,0,2,2,0,legitimate
26,18,1,1,0,0,1,0,legitimate
24,16,1,1,0,0,0,0,legitimate
35,27,2,1,0,2,1,0,legitimate
27,19,2,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
27,19,0,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
40,32,2,1,0,2,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
32,24,2,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
29,21,1,1,0,1,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
36,28,2,1,0,0,2,0,legitimate
19,11,0,1,0,1,0,0,legitimate
27,19,1,1,0,1,0,0,legitimate
21,13,0,1,0,0,0,0,legitimate
55,47,1,1,0,4,0,0,legitimate
42,34,3,1,0,3,0,0,legitimate
34,26,1,1,0,1,2,0,legitimate
22,14,0,1,0,0,0,0,legitimate
29,21,1,1,0,1,0,0,legitimate
47,39,3,1,0,2,1,0,legitimate
38,30,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
35,27,2,1,0,1,2,0,legitimate
35,27,2,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
62,54,4,1,0,2,5,0,legitimate
38,30,3,1,0,1,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
31,23,1,1,0,1,0,0,legitimate
43,35,5,1,0,0,0,0,legitimate
19,11,1,1,0,0,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
39,31,1,1,0,0,0,0,legitimate
49,41,1,1,0,1,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
16,8,0,1,0,0,1,0,legitimate
21,13,0,1,0,0,0,0,legitimate
38,30,3,1,0,2,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
41,33,1,1,0,4,1,0,legitimate
41,33,1,1,0,4,1,0,legitimate
21,13,0,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
41,33,1,1,0,1,0,0,legitimate
42,34,1,1,0,1,0,0,legitimate
26,18,0,1,0,1,0,0,legitimate
30,22,1,1,0,1,0,0,legitimate
26,18,2,1,0,0,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
32,24,2,1,0,1,1,0,legitimate
21,13,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
33,25,1,1,0,0,0,0,legitimate
37,29,2,1,1,0,0,0,legitimate
35,27,2,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
18,10,0,1,0,1,0,0,legitimate
44,36,2,1,0,1,1,0,legitimate
32,24,2,1,1,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
17,9,0,1,0,0,1,0,legitimate
19,11,1,1,0,0,2,0,legitimate
17,9,0,1,0,0,0,0,legitimate
39,31,2,1,0,0,0,0,legitimate
37,29,2,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
31,23,1,1,0,1,0,0,legitimate
37,29,2,1,0,2,1,0,legitimate
30,22,2,1,0,1,2,0,legitimate
25,17,1,1,0,0,0,0,legitimate
38,30,2,1,0,2,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
27,19,1,1,0,1,2,0,legitimate
22,14,1,1,0,0,0,0,legitimate
32,24,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
31,23,1,1,0,0,0,0,legitimate
21,13,1,1,0,0,1,0,legitimate
19,11,0,1,0,0,0,0,legitimate
31,23,2,1,0,1,2,0,legitimate
15,7,0,1,0,0,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
39,31,2,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
19,11,1,1,0,0,1,0,legitimate
31,23,1,1,0,0,0,0,legitimate
38,30,3,1,1,0,2,0,legitimate
17,9,0,1,0,0,0,0,legitimate
28,20,1,1,0,2,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
35,27,1,1,0,2,1,0,legitimate
32,24,2,1,0,1,2,0,legitimate
39,31,1,1,0,4,3,0,legitimate
18,10,0,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
31,23,1,1,0,0,0,0,legitimate
35,27,2,1,0,0,2,0,legitimate
24,16,2,1,0,0,0,0,legitimate
37,29,1,1,0,1,0,0,legitimate
32,24,2,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
24,16,2,1,0,0,0,0,legitimate
38,30,3,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
25,17,0,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
24,16,0,1,0,0,0,0,legitimate
34,26,1,1,0,0,0,0,legitimate
48,40,1,1,0,3,0,0,legitimate
28,20,2,1,0,1,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
28,20,1,1,1,0,0,0,legitimate
42,34,5,1,0,0,3,0,legitimate
37,29,1,1,0,2,1,0,legitimate
35,27,2,1,0,0,0,0,legitimate
25,17,2,1,0,0,0,0,legitimate
29,21,3,1,0,0,1,0,legitimate
24,16,1,1,0,0,0,0,legitimate
20,12,0,1,0,1,1,0,legitimate
24,16,1,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
36,28,3,1,0,0,0,0,legitimate
35,27,2,1,0,0,0,0,legitimate
32,24,2,1,0,0,0,0,legitimate
38,30,2,1,0,0,0,0,legitimate
40,32,2,1,0,2,1,0,legitimate
25,17,1,1,0,0,0,0,legitimate
36,28,1,1,0,2,0,0,legitimate
31,23,2,1,0,0,4,0,legitimate
27,19,1,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
42,34,1,1,0,3,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
29,21,2,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
30,22,2,1,0,0,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
32,24,1,1,0,0,1,0,legitimate
24,16,1,1,0,2,0,0,legitimate
31,23,4,1,0,0,1,0,legitimate
19,11,0,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
28,20,1,1,0,0,3,0,legitimate
27,19,1,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
31,23,1,1,0,1,0,0,legitimate
23,15,0,1,0,0,0,0,legitimate
32,24,1,1,0,0,0,0,legitimate
40,32,3,1,0,0,2,0,legitimate
34,26,2,1,0,2,1,0,legitimate
21,13,0,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
24,16,1,1,0,1,0,0,legitimate
31,23,1,1,0,1,0,0,legitimate
21,13,1,1,0,0,1,0,legitimate
21,13,0,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
28,20,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
29,21,1,1,0,1,0,0,legitimate
27,19,1,1,0,1,0,0,legitimate
29,21,2,1,0,0,0,0,legitimate
30,22,1,1,0,2,0,0,legitimate
27,19,1,1,0,1,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
17,9,0,1,0,1,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
39,31,3,1,0,0,1,0,legitimate
18,10,0,1,0,0,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
33,25,1,1,0,0,0,0,legitimate
29,21,1,1,0,0,0,0,legitimate
41,33,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
21,13,1,1,0,1,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
24,16,1,1,0,0,0,0,legitimate
28,20,1,1,0,2,0,0,legitimate
35,27,1,1,0,2,0,0,legitimate
21,13,0,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
30,22,2,1,0,1,0,0,legitimate
43,35,3,1,0,1,0,0,legitimate
28,20,1,1,1,0,0,0,legitimate
37,29,2,1,0,2,3,0,legitimate
25,17,1,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
29,21,0,1,0,0,0,0,legitimate
25,17,0,1,0,1,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
44,36,1,1,0,1,0,0,legitimate
45,37,3,1,0,3,0,0,legitimate
36,28,2,1,0,0,0,0,legitimate
16,8,0,1,0,0,1,0,legitimate
51,43,1,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
14,6,0,1,0,0,1,0,legitimate
18,10,0,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
39,31,1,1,0,3,0,0,legitimate
36,28,1,1,0,2,0,0,legitimate
31,23,1,1,0,0,0,0,legitimate
37,29,1,1,0,2,0,0,legitimate
38,30,1,1,0,2,0,0,legitimate
34,26,1,1,0,0,0,0,legitimate
57,49,2,1,0,0,0,0,legitimate
39,31,2,1,0,2,0,0,legitimate
34,26,1,1,0,1,0,0,legitimate
30,22,2,1,0,0,0,0,legitimate
40,32,3,1,0,1,0,0,legitimate
44,36,3,1,0,1,2,0,legitimate
40,32,2,1,0,2,1,0,legitimate
44,36,3,1,0,2,1,0,legitimate
47,39,1,1,0,1,0,0,legitimate
41,33,1,1,0,1,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
35,27,2,1,0,0,0,0,legitimate
51,43,3,1,0,4,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
21,13,0,1,0,0,0,0,legitimate
24,16,0,1,0,0,0,0,legitimate
42,34,2,1,0,1,1,0,legitimate
30,22,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
19,11,0,1,0,0,0,0,legitimate
30,22,1,1,0,2,0,0,legitimate
41,33,2,1,0,0,0,0,legitimate
54,46,3,1,0,1,0,0,legitimate
26,18,1,1,1,0,0,0,legitimate
28,20,1,1,0,0,1,0,legitimate
43,35,3,1,0,0,0,0,legitimate
48,40,4,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
23,15,0,1,0,0,1,0,legitimate
43,35,3,1,0,0,0,0,legitimate
27,19,1,1,0,0,1,0,legitimate
32,24,2,1,0,0,5,0,legitimate
19,11,0,1,0,0,0,0,legitimate
21,13,1,1,0,0,1,0,legitimate
34,26,2,1,0,1,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
28,20,1,1,0,0,0,0,legitimate
44,36,1,1,0,1,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
42,34,1,1,0,2,0,0,legitimate
28,20,1,1,0,1,0,0,legitimate
31,23,1,1,0,2,1,0,legitimate
16,8,0,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
23,15,0,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
42,34,5,1,0,0,3,0,legitimate
17,9,0,1,0,0,0,0,legitimate
36,28,0,1,0,2,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
31,23,2,1,0,1,0,0,legitimate
19,11,0,1,0,0,3,0,legitimate
45,37,5,1,0,0,3,0,legitimate
43,35,3,1,0,2,1,0,legitimate
24,16,0,1,0,0,0,0,legitimate
28,20,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,1,0,legitimate
25,17,1,1,0,0,0,0,legitimate
55,47,3,1,0,3,0,0,legitimate
42,34,3,1,0,0,0,0,legitimate
42,34,5,1,0,0,3,0,legitimate
19,11,1,1,0,0,1,0,legitimate
27,19,1,1,0,0,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
40,32,3,1,0,1,1,0,legitimate
28,20,1,1,0,0,0,0,legitimate
27,19,1,1,0,0,1,0,legitimate
28,20,1,1,0,1,1,0,legitimate
31,23,2,1,0,1,0,0,legitimate
28,20,2,1,0,1,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
21,13,0,1,0,0,0,0,legitimate
23,15,0,1,0,0,0,0,legitimate
21,13,0,1,0,1,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
30,22,1,1,0,1,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
34,26,3,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
31,23,2,1,0,1,0,0,legitimate
35,27,1,1,0,2,0,0,legitimate
35,27,2,1,0,1,0,0,legitimate
20,12,0,1,0,0,3,0,legitimate
20,12,0,1,0,0,0,0,legitimate
21,13,1,1,0,0,2,0,legitimate
21,13,1,1,0,0,1,0,legitimate
27,19,1,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
36,28,2,1,0,0,0,0,legitimate
41,33,3,1,0,0,0,0,legitimate
48,40,4,1,0,0,0,0,legitimate
56,48,2,1,0,1,1,0,legitimate
30,22,1,1,0,1,1,0,legitimate
24,16,1,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
34,26,2,1,0,1,1,0,legitimate
45,37,5,1,0,0,3,0,legitimate
37,29,2,1,0,2,1,0,legitimate
45,37,5,1,0,0,3,0,legitimate
18,10,0,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
20,12,1,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
22,14,1,1,0,0,0,0,legitimate
32,24,2,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
28,20,1,1,0,1,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
28,20,2,1,0,1,1,0,legitimate
45,37,5,1,0,0,3,0,legitimate
28,20,2,1,0,0,0,0,legitimate
46,38,3,1,0,0,0,0,legitimate
34,26,1,1,0,1,0,0,legitimate
32,24,1,1,0,0,0,0,legitimate
29,21,3,1,0,0,0,0,legitimate
39,31,1,1,0,1,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
36,28,3,1,0,1,0,0,legitimate
31,23,2,1,0,1,0,0,legitimate
39,31,2,1,0,0,0,0,legitimate
47,39,4,1,0,0,0,0,legitimate
37,29,2,1,0,0,0,0,legitimate
27,19,1,1,0,1,0,0,legitimate
21,13,0,1,0,1,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
32,24,0,1,0,1,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
42,34,1,1,0,1,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
21,13,1,1,0,0,0,0,legitimate
24,16,1,1,0,0,1,0,legitimate
34,26,1,1,0,0,0,0,legitimate
14,6,0,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
33,25,2,1,0,0,4,0,legitimate
45,37,5,1,0,0,3,0,legitimate
29,21,2,1,0,1,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
14,6,0,1,0,0,0,0,legitimate
19,11,1,1,0,0,0,0,legitimate
19,11,1,1,0,0,0,0,legitimate
32,24,1,1,0,2,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
31,23,1,1,0,0,0,0,legitimate
22,14,1,1,0,1,0,0,legitimate
17,9,0,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
45,37,1,1,0,1,0,0,legitimate
37,29,1,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
33,25,1,1,0,0,0,0,legitimate
20,12,0,1,0,0,2,0,legitimate
43,35,1,1,0,2,0,0,legitimate
22,14,1,1,0,0,1,0,legitimate
33,25,1,1,0,0,1,0,legitimate
15,7,0,1,0,0,0,0,legitimate
40,32,1,1,0,3,2,0,legitimate
24,16,1,1,1,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
28,20,2,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
38,30,3,1,0,0,0,0,legitimate
17,9,1,1,0,0,0,0,legitimate
42,34,3,1,0,0,0,0,legitimate
32,24,1,1,0,1,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
14,6,0,1,0,0,0,0,legitimate
15,7,0,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
33,25,1,1,0,0,1,0,legitimate
20,12,0,1,0,0,0,0,legitimate
42,34,1,1,0,1,0,0,legitimate
35,27,1,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
23,15,0,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
38,30,2,1,0,0,0,0,legitimate
46,38,4,1,0,3,1,0,legitimate
27,19,1,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
19,11,1,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
24,16,1,1,0,0,0,0,legitimate
33,25,2,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
28,20,1,1,0,0,3,0,legitimate
45,37,3,1,0,0,0,0,legitimate
26,18,1,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
26,18,1,1,0,1,1,0,legitimate
19,11,0,1,0,0,0,0,legitimate
17,9,0,1,0,0,2,0,legitimate
26,18,1,1,0,0,0,0,legitimate
26,18,2,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
23,15,1,1,0,0,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
40,32,3,1,0,0,1,0,legitimate
23,15,1,1,0,0,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
49,41,2,1,0,3,0,0,legitimate
39,31,3,1,0,0,0,0,legitimate
24,16,1,1,0,1,1,0,legitimate
45,37,5,1,0,0,3,0,legitimate
31,23,1,1,0,2,2,0,legitimate
21,13,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
51,43,3,1,0,3,1,0,legitimate
43,35,4,1,0,0,1,0,legitimate
24,16,1,1,0,0,0,0,legitimate
32,24,1,1,0,0,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
27,19,1,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
31,23,2,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
45,37,3,1,0,0,1,0,legitimate
35,27,2,1,0,1,0,0,legitimate
32,24,3,1,0,0,0,0,legitimate
26,18,0,1,0,0,1,0,legitimate
28,20,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
27,19,2,1,0,0,0,0,legitimate
42,34,2,1,0,1,0,0,legitimate
16,8,0,1,0,0,0,0,legitimate
32,24,2,1,0,1,0,0,legitimate
20,12,1,1,0,0,0,0,legitimate
21,13,0,1,0,0,0,0,legitimate
42,34,1,1,0,1,0,0,legitimate
27,19,1,1,1,0,0,0,legitimate
18,10,1,1,0,0,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
26,18,1,1,0,0,1,0,legitimate
29,21,2,1,0,0,4,0,legitimate
34,26,2,1,0,0,0,0,legitimate
25,17,1,1,0,0,0,0,legitimate
23,15,1,1,0,1,0,0,legitimate
37,29,2,1,0,0,0,0,legitimate
37,29,1,1,0,0,0,0,legitimate
18,10,0,1,0,0,0,0,legitimate
45,37,3,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
21,13,0,1,0,0,0,0,legitimate
28,20,2,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
45,37,5,1,0,0,3,0,legitimate
36,28,1,1,0,3,2,0,legitimate
17,9,0,1,0,0,0,0,legitimate
29,21,0,1,0,2,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
25,17,0,1,0,2,0,0,legitimate
30,22,2,1,0,1,2,0,legitimate
24,16,1,1,0,0,0,0,legitimate
24,16,0,1,0,1,0,0,legitimate
39,31,2,1,0,2,1,0,legitimate
45,37,5,1,0,0,3,0,legitimate
40,32,3,1,0,0,0,0,legitimate
30,22,3,1,0,0,1,0,legitimate
21,13,1,1,0,0,0,0,legitimate
24,16,1,1,0,0,0,0,legitimate
31,23,2,1,1,0,0,0,legitimate
32,24,1,1,0,3,4,0,legitimate
25,17,1,1,0,1,0,0,legitimate
36,28,2,1,0,0,0,0,legitimate
51,43,1,1,0,3,1,0,legitimate
32,24,1,1,0,1,0,0,legitimate
31,23,1,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
26,18,1,1,0,0,1,0,legitimate
23,15,1,1,0,0,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
35,27,2,1,0,2,0,0,legitimate
36,28,2,1,0,0,0,0,legitimate
31,23,1,1,0,1,0,0,legitimate
21,13,0,1,0,1,0,0,legitimate
44,36,3,1,0,0,0,0,legitimate
36,28,2,1,0,0,0,0,legitimate
31,23,0,1,0,0,0,0,legitimate
22,14,1,1,0,0,0,0,legitimate
34,26,2,1,0,0,0,0,legitimate
34,26,1,1,0,1,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
22,14,0,1,0,0,0,0,legitimate
32,24,2,1,0,1,1,0,legitimate
26,18,1,1,0,0,0,0,legitimate
30,22,1,1,0,0,0,0,legitimate
26,18,2,1,0,0,0,0,legitimate
31,23,2,1,0,1,0,0,legitimate
19,11,0,1,0,0,0,0,legitimate
22,14,2,1,0,0,1,0,legitimate
24,16,0,1,0,0,0,0,legitimate
23,15,1,1,0,0,0,0,legitimate
20,12,0,1,0,0,0,0,legitimate
40,32,3,1,0,1,2,0,legitimate
23,15,1,1,0,0,2,0,legitimate
